date current temperature salinity temperatureRolling
"2020-02-29 14:00:00" 0.1997394 28.357439 35.336693 
"2020-03-01 14:00:00" 0.18177587 28.322727 35.340668 
"2020-03-02 14:00:00" 0.17054811 28.277472 35.340343 
"2020-03-03 14:00:00" 0.22020692 28.189781 35.338177 
"2020-03-04 14:00:00" 0.26886442 28.1311 35.322563 
"2020-03-05 14:00:00" 0.30730343 28.138376 35.22132 28.179062
"2020-03-06 14:00:00" 0.32599407 28.191479 35.20072 28.115955
"2020-03-07 14:00:00" 0.36388946 28.150362 35.2152 28.033915
"2020-03-08 14:00:00" 0.38701335 28.099112 35.169106 27.935827
"2020-03-09 14:00:00" 0.45919338 27.932762 35.23775 27.832087
"2020-03-10 14:00:00" 0.42666623 27.726376 35.260307 27.727406
"2020-03-11 14:00:00" 0.4199448 27.502333 35.264874 27.6134
"2020-03-12 14:00:00" 0.3917484 27.2966 35.262444 27.483204
"2020-03-13 14:00:00" 0.35252878 27.152353 35.25483 27.348255
"2020-03-14 14:00:00" 0.2852296 27.084297 35.246227 27.21258
"2020-03-15 14:00:00" 0.2903664 26.998322 35.240803 27.090794
"2020-03-16 14:00:00" 0.28043666 26.88951 35.236275 26.993
"2020-03-17 14:00:00" 0.27545083 26.800875 35.231182 26.916754
"2020-03-18 14:00:00" 0.2745972 26.742365 35.229195 26.856619
"2020-03-19 14:00:00" 0.27980208 26.714901 35.2299 26.805853
"2020-03-20 14:00:00" 0.28651366 26.748436 35.231495 26.753775
"2020-03-21 14:00:00" 0.29839647 26.739862 35.237076 26.708542
"2020-03-22 14:00:00" 0.3016973 26.695253 35.246136 26.670782
"2020-03-23 14:00:00" 0.31427497 26.644726 35.253597 26.63808
"2020-03-24 14:00:00" 0.30604583 26.563498 35.262684 26.610632
"2020-03-25 14:00:00" 0.28878877 26.546013 35.26841 26.589941
"2020-03-26 14:00:00" 0.2700957 26.511894 35.272804 26.569284
"2020-03-27 14:00:00" 0.2479044 26.473858 35.27406 26.553028
"2020-03-28 14:00:00" 0.2172217 26.467896 35.27542 26.544565
"2020-03-29 14:00:00" 0.18565111 26.507982 35.282722 26.551311
"2020-03-30 14:00:00" 0.16484678 26.541857 35.290894 26.576685
"2020-03-31 14:00:00" 0.174832 26.57729 35.297707 26.607172
"2020-04-01 14:00:00" 0.21550271 26.61063 35.303764 26.638336
"2020-04-02 14:00:00" 0.26272365 26.712221 35.30859 26.665623
"2020-04-03 14:00:00" 0.3092263 26.8172 35.31204 26.685741
"2020-04-04 14:00:00" 0.340138 26.850885 35.313774 26.694218
"2020-04-05 14:00:00" 0.3662676 26.823536 35.312748 26.69726
"2020-04-06 14:00:00" 0.37873182 26.746708 35.319607 26.697718
"2020-04-07 14:00:00" 0.37849683 26.669102 35.328373 26.695652
"2020-04-08 14:00:00" 0.36625636 26.592743 35.337772 26.675114
"2020-04-09 14:00:00" 0.3390768 26.572271 35.345184 26.638172
"2020-04-10 14:00:00" 0.31173047 26.581884 35.351437 26.59169
"2020-04-11 14:00:00" 0.27548447 26.58996 35.359245 26.548111
"2020-04-12 14:00:00" 0.22906002 26.506847 35.36549 26.52154
"2020-04-13 14:00:00" 0.1973459 26.44776 35.3728 26.500217
"2020-04-14 14:00:00" 0.2058062 26.3861 35.37854 26.48711
"2020-04-15 14:00:00" 0.23672171 26.387722 35.384087 26.482016
"2020-04-16 14:00:00" 0.25640288 26.480986 35.388844 26.479954
"2020-04-17 14:00:00" 0.27675673 26.45591 35.39395 26.475307
"2020-04-18 14:00:00" 0.29096347 26.461666 35.395817 26.476292
"2020-04-19 14:00:00" 0.30181426 26.521326 35.39417 26.479666
"2020-04-20 14:00:00" 0.30463043 26.561235 35.396095 26.482534
"2020-04-21 14:00:00" 0.30238202 26.543537 35.398697 26.478779
"2020-04-22 14:00:00" 0.2931651 26.516666 35.400673 26.46098
"2020-04-23 14:00:00" 0.28024662 26.481503 35.405407 26.440023
"2020-04-24 14:00:00" 0.25831795 26.414785 35.40911 26.414417
"2020-04-25 14:00:00" 0.23235108 26.35019 35.41301 26.387613
"2020-04-26 14:00:00" 0.21095027 26.302963 35.418076 
"2020-04-27 14:00:00" 0.1882759 26.24636 35.42225 
"2020-04-28 14:00:00" 0.16283284 26.205587 35.425323 
"2020-04-29 14:00:00" 0.16483985 26.253323 35.430782 
